ID,Learner_Proficiency,Topic,Original_Sentence,Error_Type,Corrected_Sentence,Grammar_Rule,POS_Tagged,Tokenized,Error_Position
30,Beginner,Technology,The students was happy.,Subject-Verb Agreement,The students were happy.,Plural subjects require plural verbs.,The/DT students/NNS was/VBD happy/JJ ./.,The students was happy .,3
31,Intermediate,Work,She go to market yesterday.,Verb Tense,She went to the market yesterday.,Use past tense for actions completed in the past.,She/PRP go/VBP to/TO market/NN yesterday/NN ./.,She go to market yesterday .,3
32,Beginner,Education,Always I drink coffee in morning.,Word Order,I always drink coffee in the morning.,Adverbs of frequency go before the main verb.,Always/NNS I/PRP drink/VBP coffee/NN in/IN morning/NN ./.,Always I drink coffee in morning .,1
33,Intermediate,Technology,Me and him are friends.,Pronoun,He and I are friends.,Use subject pronouns in the subject position.,Me/NNP and/CC him/PRP are/VBP friends/NNS ./.,Me and him are friends .,5
34,Intermediate,Travel,The students was happy.,Subject-Verb Agreement,The students were happy.,Plural subjects require plural verbs.,The/DT students/NNS was/VBD happy/JJ ./.,The students was happy .,3
35,Beginner,Sports,He is married with a doctor.,Preposition,He is married to a doctor.,‘Married to’ is the correct collocation.,He/PRP is/VBZ married/VBN with/IN a/DT doctor/NN ./.,He is married with a doctor .,1
36,Beginner,Daily Life,She go to market yesterday.,Verb Tense,She went to the market yesterday.,Use past tense for actions completed in the past.,She/PRP go/VBP to/TO market/NN yesterday/NN ./.,She go to market yesterday .,3
37,Advanced,Technology,Me and him are friends.,Pronoun,He and I are friends.,Use subject pronouns in the subject position.,Me/NNP and/CC him/PRP are/VBP friends/NNS ./.,Me and him are friends .,2
38,Intermediate,Sports,The students was happy.,Subject-Verb Agreement,The students were happy.,Plural subjects require plural verbs.,The/DT students/NNS was/VBD happy/JJ ./.,The students was happy .,4
39,Advanced,Technology,Always I drink coffee in morning.,Word Order,I always drink coffee in the morning.,Adverbs of frequency go before the main verb.,Always/NNS I/PRP drink/VBP coffee/NN in/IN morning/NN ./.,Always I drink coffee in morning .,1
40,Intermediate,Sports,Me and him are friends.,Pronoun,He and I are friends.,Use subject pronouns in the subject position.,Me/NNP and/CC him/PRP are/VBP friends/NNS ./.,Me and him are friends .,3
41,Advanced,Technology,She go to market yesterday.,Verb Tense,She went to the market yesterday.,Use past tense for actions completed in the past.,She/PRP go/VBP to/TO market/NN yesterday/NN ./.,She go to market yesterday .,1
42,Advanced,Daily Life,He is married with a doctor.,Preposition,He is married to a doctor.,‘Married to’ is the correct collocation.,He/PRP is/VBZ married/VBN with/IN a/DT doctor/NN ./.,He is married with a doctor .,5
43,Intermediate,Travel,Me and him are friends.,Pronoun,He and I are friends.,Use subject pronouns in the subject position.,Me/NNP and/CC him/PRP are/VBP friends/NNS ./.,Me and him are friends .,0
44,Intermediate,Health,The students was happy.,Subject-Verb Agreement,The students were happy.,Plural subjects require plural verbs.,The/DT students/NNS was/VBD happy/JJ ./.,The students was happy .,4
45,Intermediate,Health,I have an homework to finish.,Article,I have homework to finish.,‘Homework’ is uncountable; no article needed.,I/PRP have/VBP an/DT homework/NN to/TO finish/VB ./.,I have an homework to finish .,2
46,Intermediate,Sports,He bought two breads.,Noun Form,He bought two loaves of bread.,Use correct plural form or measure word.,He/PRP bought/VBD two/CD breads/NNS ./.,He bought two breads .,3
47,Intermediate,Sports,Always I drink coffee in morning.,Word Order,I always drink coffee in the morning.,Adverbs of frequency go before the main verb.,Always/NNS I/PRP drink/VBP coffee/NN in/IN morning/NN ./.,Always I drink coffee in morning .,0
48,Advanced,Sports,The students was happy.,Subject-Verb Agreement,The students were happy.,Plural subjects require plural verbs.,The/DT students/NNS was/VBD happy/JJ ./.,The students was happy .,2
49,Advanced,Daily Life,Always I drink coffee in morning.,Word Order,I always drink coffee in the morning.,Adverbs of frequency go before the main verb.,Always/NNS I/PRP drink/VBP coffee/NN in/IN morning/NN ./.,Always I drink coffee in morning .,0
50,Intermediate,Education,Always I drink coffee in morning.,Word Order,I always drink coffee in the morning.,Adverbs of frequency go before the main verb.,Always/NNS I/PRP drink/VBP coffee/NN in/IN morning/NN ./.,Always I drink coffee in morning .,5
51,Advanced,Daily Life,He bought two breads.,Noun Form,He bought two loaves of bread.,Use correct plural form or measure word.,He/PRP bought/VBD two/CD breads/NNS ./.,He bought two breads .,0
52,Intermediate,Technology,He is married with a doctor.,Preposition,He is married to a doctor.,‘Married to’ is the correct collocation.,He/PRP is/VBZ married/VBN with/IN a/DT doctor/NN ./.,He is married with a doctor .,0
53,Intermediate,Daily Life,Always I drink coffee in morning.,Word Order,I always drink coffee in the morning.,Adverbs of frequency go before the main verb.,Always/NNS I/PRP drink/VBP coffee/NN in/IN morning/NN ./.,Always I drink coffee in morning .,6
54,Advanced,Sports,I have an homework to finish.,Article,I have homework to finish.,‘Homework’ is uncountable; no article needed.,I/PRP have/VBP an/DT homework/NN to/TO finish/VB ./.,I have an homework to finish .,4
55,Beginner,Health,Always I drink coffee in morning.,Word Order,I always drink coffee in the morning.,Adverbs of frequency go before the main verb.,Always/NNS I/PRP drink/VBP coffee/NN in/IN morning/NN ./.,Always I drink coffee in morning .,1
56,Intermediate,Sports,He is married with a doctor.,Preposition,He is married to a doctor.,‘Married to’ is the correct collocation.,He/PRP is/VBZ married/VBN with/IN a/DT doctor/NN ./.,He is married with a doctor .,0
57,Advanced,Travel,I have an homework to finish.,Article,I have homework to finish.,‘Homework’ is uncountable; no article needed.,I/PRP have/VBP an/DT homework/NN to/TO finish/VB ./.,I have an homework to finish .,0
58,Advanced,Daily Life,I have an homework to finish.,Article,I have homework to finish.,‘Homework’ is uncountable; no article needed.,I/PRP have/VBP an/DT homework/NN to/TO finish/VB ./.,I have an homework to finish .,6
59,Beginner,Daily Life,Me and him are friends.,Pronoun,He and I are friends.,Use subject pronouns in the subject position.,Me/NNP and/CC him/PRP are/VBP friends/NNS ./.,Me and him are friends .,2
60,Beginner,Education,I have an homework to finish.,Article,I have homework to finish.,‘Homework’ is uncountable; no article needed.,I/PRP have/VBP an/DT homework/NN to/TO finish/VB ./.,I have an homework to finish .,6
61,Beginner,Technology,Always I drink coffee in morning.,Word Order,I always drink coffee in the morning.,Adverbs of frequency go before the main verb.,Always/NNS I/PRP drink/VBP coffee/NN in/IN morning/NN ./.,Always I drink coffee in morning .,4
62,Intermediate,Daily Life,Always I drink coffee in morning.,Word Order,I always drink coffee in the morning.,Adverbs of frequency go before the main verb.,Always/NNS I/PRP drink/VBP coffee/NN in/IN morning/NN ./.,Always I drink coffee in morning .,1
63,Advanced,Daily Life,She go to market yesterday.,Verb Tense,She went to the market yesterday.,Use past tense for actions completed in the past.,She/PRP go/VBP to/TO market/NN yesterday/NN ./.,She go to market yesterday .,5
64,Advanced,Work,She go to market yesterday.,Verb Tense,She went to the market yesterday.,Use past tense for actions completed in the past.,She/PRP go/VBP to/TO market/NN yesterday/NN ./.,She go to market yesterday .,0
65,Beginner,Sports,I have an homework to finish.,Article,I have homework to finish.,‘Homework’ is uncountable; no article needed.,I/PRP have/VBP an/DT homework/NN to/TO finish/VB ./.,I have an homework to finish .,2
66,Intermediate,Work,I have an homework to finish.,Article,I have homework to finish.,‘Homework’ is uncountable; no article needed.,I/PRP have/VBP an/DT homework/NN to/TO finish/VB ./.,I have an homework to finish .,5
67,Intermediate,Health,Always I drink coffee in morning.,Word Order,I always drink coffee in the morning.,Adverbs of frequency go before the main verb.,Always/NNS I/PRP drink/VBP coffee/NN in/IN morning/NN ./.,Always I drink coffee in morning .,4
68,Intermediate,Health,The students was happy.,Subject-Verb Agreement,The students were happy.,Plural subjects require plural verbs.,The/DT students/NNS was/VBD happy/JJ ./.,The students was happy .,2
69,Advanced,Travel,I have an homework to finish.,Article,I have homework to finish.,‘Homework’ is uncountable; no article needed.,I/PRP have/VBP an/DT homework/NN to/TO finish/VB ./.,I have an homework to finish .,0
70,Beginner,Sports,Me and him are friends.,Pronoun,He and I are friends.,Use subject pronouns in the subject position.,Me/NNP and/CC him/PRP are/VBP friends/NNS ./.,Me and him are friends .,5
71,Intermediate,Daily Life,Always I drink coffee in morning.,Word Order,I always drink coffee in the morning.,Adverbs of frequency go before the main verb.,Always/NNS I/PRP drink/VBP coffee/NN in/IN morning/NN ./.,Always I drink coffee in morning .,2
72,Advanced,Education,Me and him are friends.,Pronoun,He and I are friends.,Use subject pronouns in the subject position.,Me/NNP and/CC him/PRP are/VBP friends/NNS ./.,Me and him are friends .,5
73,Beginner,Work,Me and him are friends.,Pronoun,He and I are friends.,Use subject pronouns in the subject position.,Me/NNP and/CC him/PRP are/VBP friends/NNS ./.,Me and him are friends .,1
74,Beginner,Sports,Me and him are friends.,Pronoun,He and I are friends.,Use subject pronouns in the subject position.,Me/NNP and/CC him/PRP are/VBP friends/NNS ./.,Me and him are friends .,2
75,Beginner,Technology,The students was happy.,Subject-Verb Agreement,The students were happy.,Plural subjects require plural verbs.,The/DT students/NNS was/VBD happy/JJ ./.,The students was happy .,2
76,Beginner,Education,He bought two breads.,Noun Form,He bought two loaves of bread.,Use correct plural form or measure word.,He/PRP bought/VBD two/CD breads/NNS ./.,He bought two breads .,1
77,Beginner,Health,The students was happy.,Subject-Verb Agreement,The students were happy.,Plural subjects require plural verbs.,The/DT students/NNS was/VBD happy/JJ ./.,The students was happy .,1
78,Advanced,Daily Life,Always I drink coffee in morning.,Word Order,I always drink coffee in the morning.,Adverbs of frequency go before the main verb.,Always/NNS I/PRP drink/VBP coffee/NN in/IN morning/NN ./.,Always I drink coffee in morning .,6
79,Advanced,Technology,The students was happy.,Subject-Verb Agreement,The students were happy.,Plural subjects require plural verbs.,The/DT students/NNS was/VBD happy/JJ ./.,The students was happy .,3
80,Advanced,Sports,He bought two breads.,Noun Form,He bought two loaves of bread.,Use correct plural form or measure word.,He/PRP bought/VBD two/CD breads/NNS ./.,He bought two breads .,1
81,Intermediate,Sports,He bought two breads.,Noun Form,He bought two loaves of bread.,Use correct plural form or measure word.,He/PRP bought/VBD two/CD breads/NNS ./.,He bought two breads .,2
82,Intermediate,Sports,He bought two breads.,Noun Form,He bought two loaves of bread.,Use correct plural form or measure word.,He/PRP bought/VBD two/CD breads/NNS ./.,He bought two breads .,0
83,Beginner,Sports,Always I drink coffee in morning.,Word Order,I always drink coffee in the morning.,Adverbs of frequency go before the main verb.,Always/NNS I/PRP drink/VBP coffee/NN in/IN morning/NN ./.,Always I drink coffee in morning .,5
84,Advanced,Daily Life,Always I drink coffee in morning.,Word Order,I always drink coffee in the morning.,Adverbs of frequency go before the main verb.,Always/NNS I/PRP drink/VBP coffee/NN in/IN morning/NN ./.,Always I drink coffee in morning .,2
85,Beginner,Health,Me and him are friends.,Pronoun,He and I are friends.,Use subject pronouns in the subject position.,Me/NNP and/CC him/PRP are/VBP friends/NNS ./.,Me and him are friends .,4
86,Intermediate,Work,He is married with a doctor.,Preposition,He is married to a doctor.,‘Married to’ is the correct collocation.,He/PRP is/VBZ married/VBN with/IN a/DT doctor/NN ./.,He is married with a doctor .,2
87,Advanced,Sports,I have an homework to finish.,Article,I have homework to finish.,‘Homework’ is uncountable; no article needed.,I/PRP have/VBP an/DT homework/NN to/TO finish/VB ./.,I have an homework to finish .,4
88,Beginner,Sports,Me and him are friends.,Pronoun,He and I are friends.,Use subject pronouns in the subject position.,Me/NNP and/CC him/PRP are/VBP friends/NNS ./.,Me and him are friends .,0
89,Beginner,Daily Life,Me and him are friends.,Pronoun,He and I are friends.,Use subject pronouns in the subject position.,Me/NNP and/CC him/PRP are/VBP friends/NNS ./.,Me and him are friends .,1
90,Advanced,Travel,I have an homework to finish.,Article,I have homework to finish.,‘Homework’ is uncountable; no article needed.,I/PRP have/VBP an/DT homework/NN to/TO finish/VB ./.,I have an homework to finish .,5
91,Advanced,Work,He is married with a doctor.,Preposition,He is married to a doctor.,‘Married to’ is the correct collocation.,He/PRP is/VBZ married/VBN with/IN a/DT doctor/NN ./.,He is married with a doctor .,4
92,Intermediate,Daily Life,He bought two breads.,Noun Form,He bought two loaves of bread.,Use correct plural form or measure word.,He/PRP bought/VBD two/CD breads/NNS ./.,He bought two breads .,4
93,Intermediate,Education,Me and him are friends.,Pronoun,He and I are friends.,Use subject pronouns in the subject position.,Me/NNP and/CC him/PRP are/VBP friends/NNS ./.,Me and him are friends .,0
94,Beginner,Daily Life,She go to market yesterday.,Verb Tense,She went to the market yesterday.,Use past tense for actions completed in the past.,She/PRP go/VBP to/TO market/NN yesterday/NN ./.,She go to market yesterday .,1
95,Beginner,Work,She go to market yesterday.,Verb Tense,She went to the market yesterday.,Use past tense for actions completed in the past.,She/PRP go/VBP to/TO market/NN yesterday/NN ./.,She go to market yesterday .,0
96,Advanced,Technology,He bought two breads.,Noun Form,He bought two loaves of bread.,Use correct plural form or measure word.,He/PRP bought/VBD two/CD breads/NNS ./.,He bought two breads .,3
97,Advanced,Sports,She go to market yesterday.,Verb Tense,She went to the market yesterday.,Use past tense for actions completed in the past.,She/PRP go/VBP to/TO market/NN yesterday/NN ./.,She go to market yesterday .,5
98,Beginner,Health,She go to market yesterday.,Verb Tense,She went to the market yesterday.,Use past tense for actions completed in the past.,She/PRP go/VBP to/TO market/NN yesterday/NN ./.,She go to market yesterday .,3
99,Beginner,Travel,I have an homework to finish.,Article,I have homework to finish.,‘Homework’ is uncountable; no article needed.,I/PRP have/VBP an/DT homework/NN to/TO finish/VB ./.,I have an homework to finish .,3
100,Beginner,Sports,He bought two breads.,Noun Form,He bought two loaves of bread.,Use correct plural form or measure word.,He/PRP bought/VBD two/CD breads/NNS ./.,He bought two breads .,1
101,Beginner,Work,The students was happy.,Subject-Verb Agreement,The students were happy.,Plural subjects require plural verbs.,The/DT students/NNS was/VBD happy/JJ ./.,The students was happy .,1
102,Beginner,Health,She go to market yesterday.,Verb Tense,She went to the market yesterday.,Use past tense for actions completed in the past.,She/PRP go/VBP to/TO market/NN yesterday/NN ./.,She go to market yesterday .,5
103,Beginner,Travel,I have an homework to finish.,Article,I have homework to finish.,‘Homework’ is uncountable; no article needed.,I/PRP have/VBP an/DT homework/NN to/TO finish/VB ./.,I have an homework to finish .,0
104,Beginner,Health,He is married with a doctor.,Preposition,He is married to a doctor.,‘Married to’ is the correct collocation.,He/PRP is/VBZ married/VBN with/IN a/DT doctor/NN ./.,He is married with a doctor .,6
105,Beginner,Work,I have an homework to finish.,Article,I have homework to finish.,‘Homework’ is uncountable; no article needed.,I/PRP have/VBP an/DT homework/NN to/TO finish/VB ./.,I have an homework to finish .,4
106,Advanced,Health,The students was happy.,Subject-Verb Agreement,The students were happy.,Plural subjects require plural verbs.,The/DT students/NNS was/VBD happy/JJ ./.,The students was happy .,2
107,Intermediate,Technology,She go to market yesterday.,Verb Tense,She went to the market yesterday.,Use past tense for actions completed in the past.,She/PRP go/VBP to/TO market/NN yesterday/NN ./.,She go to market yesterday .,1
108,Intermediate,Daily Life,He bought two breads.,Noun Form,He bought two loaves of bread.,Use correct plural form or measure word.,He/PRP bought/VBD two/CD breads/NNS ./.,He bought two breads .,0
109,Beginner,Work,Me and him are friends.,Pronoun,He and I are friends.,Use subject pronouns in the subject position.,Me/NNP and/CC him/PRP are/VBP friends/NNS ./.,Me and him are friends .,5
110,Intermediate,Technology,She go to market yesterday.,Verb Tense,She went to the market yesterday.,Use past tense for actions completed in the past.,She/PRP go/VBP to/TO market/NN yesterday/NN ./.,She go to market yesterday .,1
111,Beginner,Health,I have an homework to finish.,Article,I have homework to finish.,‘Homework’ is uncountable; no article needed.,I/PRP have/VBP an/DT homework/NN to/TO finish/VB ./.,I have an homework to finish .,6
112,Intermediate,Travel,Me and him are friends.,Pronoun,He and I are friends.,Use subject pronouns in the subject position.,Me/NNP and/CC him/PRP are/VBP friends/NNS ./.,Me and him are friends .,3
113,Advanced,Health,He is married with a doctor.,Preposition,He is married to a doctor.,‘Married to’ is the correct collocation.,He/PRP is/VBZ married/VBN with/IN a/DT doctor/NN ./.,He is married with a doctor .,6
114,Intermediate,Daily Life,He is married with a doctor.,Preposition,He is married to a doctor.,‘Married to’ is the correct collocation.,He/PRP is/VBZ married/VBN with/IN a/DT doctor/NN ./.,He is married with a doctor .,0
115,Beginner,Health,Me and him are friends.,Pronoun,He and I are friends.,Use subject pronouns in the subject position.,Me/NNP and/CC him/PRP are/VBP friends/NNS ./.,Me and him are friends .,4
116,Beginner,Travel,Always I drink coffee in morning.,Word Order,I always drink coffee in the morning.,Adverbs of frequency go before the main verb.,Always/NNS I/PRP drink/VBP coffee/NN in/IN morning/NN ./.,Always I drink coffee in morning .,2
117,Advanced,Education,I have an homework to finish.,Article,I have homework to finish.,‘Homework’ is uncountable; no article needed.,I/PRP have/VBP an/DT homework/NN to/TO finish/VB ./.,I have an homework to finish .,5
118,Beginner,Education,He bought two breads.,Noun Form,He bought two loaves of bread.,Use correct plural form or measure word.,He/PRP bought/VBD two/CD breads/NNS ./.,He bought two breads .,4
119,Advanced,Health,Me and him are friends.,Pronoun,He and I are friends.,Use subject pronouns in the subject position.,Me/NNP and/CC him/PRP are/VBP friends/NNS ./.,Me and him are friends .,3
120,Advanced,Work,He is married with a doctor.,Preposition,He is married to a doctor.,‘Married to’ is the correct collocation.,He/PRP is/VBZ married/VBN with/IN a/DT doctor/NN ./.,He is married with a doctor .,6
121,Advanced,Education,Me and him are friends.,Pronoun,He and I are friends.,Use subject pronouns in the subject position.,Me/NNP and/CC him/PRP are/VBP friends/NNS ./.,Me and him are friends .,1
122,Beginner,Travel,The students was happy.,Subject-Verb Agreement,The students were happy.,Plural subjects require plural verbs.,The/DT students/NNS was/VBD happy/JJ ./.,The students was happy .,3
123,Advanced,Travel,I have an homework to finish.,Article,I have homework to finish.,‘Homework’ is uncountable; no article needed.,I/PRP have/VBP an/DT homework/NN to/TO finish/VB ./.,I have an homework to finish .,3
124,Advanced,Sports,The students was happy.,Subject-Verb Agreement,The students were happy.,Plural subjects require plural verbs.,The/DT students/NNS was/VBD happy/JJ ./.,The students was happy .,0
125,Advanced,Technology,The students was happy.,Subject-Verb Agreement,The students were happy.,Plural subjects require plural verbs.,The/DT students/NNS was/VBD happy/JJ ./.,The students was happy .,1
126,Beginner,Health,He bought two breads.,Noun Form,He bought two loaves of bread.,Use correct plural form or measure word.,He/PRP bought/VBD two/CD breads/NNS ./.,He bought two breads .,4
127,Advanced,Health,I have an homework to finish.,Article,I have homework to finish.,‘Homework’ is uncountable; no article needed.,I/PRP have/VBP an/DT homework/NN to/TO finish/VB ./.,I have an homework to finish .,0
128,Advanced,Work,She go to market yesterday.,Verb Tense,She went to the market yesterday.,Use past tense for actions completed in the past.,She/PRP go/VBP to/TO market/NN yesterday/NN ./.,She go to market yesterday .,1
129,Advanced,Technology,He is married with a doctor.,Preposition,He is married to a doctor.,‘Married to’ is the correct collocation.,He/PRP is/VBZ married/VBN with/IN a/DT doctor/NN ./.,He is married with a doctor .,0
130,Advanced,Technology,He bought two breads.,Noun Form,He bought two loaves of bread.,Use correct plural form or measure word.,He/PRP bought/VBD two/CD breads/NNS ./.,He bought two breads .,4
131,Advanced,Travel,The students was happy.,Subject-Verb Agreement,The students were happy.,Plural subjects require plural verbs.,The/DT students/NNS was/VBD happy/JJ ./.,The students was happy .,4
132,Beginner,Travel,Me and him are friends.,Pronoun,He and I are friends.,Use subject pronouns in the subject position.,Me/NNP and/CC him/PRP are/VBP friends/NNS ./.,Me and him are friends .,2
133,Intermediate,Health,She go to market yesterday.,Verb Tense,She went to the market yesterday.,Use past tense for actions completed in the past.,She/PRP go/VBP to/TO market/NN yesterday/NN ./.,She go to market yesterday .,4
134,Advanced,Sports,The students was happy.,Subject-Verb Agreement,The students were happy.,Plural subjects require plural verbs.,The/DT students/NNS was/VBD happy/JJ ./.,The students was happy .,2
135,Advanced,Sports,The students was happy.,Subject-Verb Agreement,The students were happy.,Plural subjects require plural verbs.,The/DT students/NNS was/VBD happy/JJ ./.,The students was happy .,0
136,Intermediate,Sports,The students was happy.,Subject-Verb Agreement,The students were happy.,Plural subjects require plural verbs.,The/DT students/NNS was/VBD happy/JJ ./.,The students was happy .,1
137,Intermediate,Daily Life,Always I drink coffee in morning.,Word Order,I always drink coffee in the morning.,Adverbs of frequency go before the main verb.,Always/NNS I/PRP drink/VBP coffee/NN in/IN morning/NN ./.,Always I drink coffee in morning .,5
138,Intermediate,Work,Me and him are friends.,Pronoun,He and I are friends.,Use subject pronouns in the subject position.,Me/NNP and/CC him/PRP are/VBP friends/NNS ./.,Me and him are friends .,0
139,Beginner,Education,She go to market yesterday.,Verb Tense,She went to the market yesterday.,Use past tense for actions completed in the past.,She/PRP go/VBP to/TO market/NN yesterday/NN ./.,She go to market yesterday .,2
140,Beginner,Technology,He bought two breads.,Noun Form,He bought two loaves of bread.,Use correct plural form or measure word.,He/PRP bought/VBD two/CD breads/NNS ./.,He bought two breads .,2
141,Intermediate,Technology,She go to market yesterday.,Verb Tense,She went to the market yesterday.,Use past tense for actions completed in the past.,She/PRP go/VBP to/TO market/NN yesterday/NN ./.,She go to market yesterday .,3
142,Advanced,Health,Always I drink coffee in morning.,Word Order,I always drink coffee in the morning.,Adverbs of frequency go before the main verb.,Always/NNS I/PRP drink/VBP coffee/NN in/IN morning/NN ./.,Always I drink coffee in morning .,4
143,Intermediate,Technology,He is married with a doctor.,Preposition,He is married to a doctor.,‘Married to’ is the correct collocation.,He/PRP is/VBZ married/VBN with/IN a/DT doctor/NN ./.,He is married with a doctor .,3
144,Beginner,Health,Always I drink coffee in morning.,Word Order,I always drink coffee in the morning.,Adverbs of frequency go before the main verb.,Always/NNS I/PRP drink/VBP coffee/NN in/IN morning/NN ./.,Always I drink coffee in morning .,3
145,Advanced,Travel,Always I drink coffee in morning.,Word Order,I always drink coffee in the morning.,Adverbs of frequency go before the main verb.,Always/NNS I/PRP drink/VBP coffee/NN in/IN morning/NN ./.,Always I drink coffee in morning .,5
146,Beginner,Health,He is married with a doctor.,Preposition,He is married to a doctor.,‘Married to’ is the correct collocation.,He/PRP is/VBZ married/VBN with/IN a/DT doctor/NN ./.,He is married with a doctor .,1
